,Data,Country,CO2,N2O,CH4,AverageTemperature,Mes
7132,2009,Sweden,47941.96122582391,4970.896218175102,5853.730022761175,9.155,5
7133,2009,Sweden,47627.07431852577,4951.947570975419,5844.551981631559,12.126,6
7134,2009,Sweden,47380.56083174673,4933.767683427398,5835.695964687015,15.095999999999998,7
7135,2009,Sweden,47217.052293478824,4917.336222421672,5827.044233687634,14.519,8
7136,2009,Sweden,47151.18023171506,4903.632854848892,5818.479050393506,10.317,9
7137,2009,Sweden,47197.57617444885,4893.637247599823,5809.882676564798,1.358,10
7138,2009,Sweden,47370.128179460015,4888.297493614507,5801.140328420543,0.9419999999999996,11
7139,2009,Sweden,47665.62448963273,4887.835484969304,5792.205174735519,-7.548999999999999,12
7140,2010,Sweden,48063.753532956514,4891.74691287686,5783.098336840203,-11.382,1
7141,2010,Sweden,48543.46026720439,4899.495894599178,5773.843890524087,-11.115,2
7142,2010,Sweden,49083.68965015271,4910.5465473983,5764.465911576591,-4.199,3
7143,2010,Sweden,49663.386639578515,4924.362988536296,5754.988475787129,2.41,4
7144,2010,Sweden,50261.49619325382,4940.409335275119,5745.435658945199,7.917000000000002,5
7145,2010,Sweden,50856.963268955595,4958.149704876835,5735.83153684022,11.792,6
7146,2010,Sweden,51428.73282446074,4977.048214603529,5726.200185261602,16.525,7
7147,2010,Sweden,51955.74981754134,4996.568981717126,5716.565679998847,13.652999999999999,8
7148,2010,Sweden,52416.959205974425,5016.176123479708,5706.952096841372,8.891,9
7149,2010,Sweden,52791.30594753624,5035.333757153359,5697.3835115785905,3.298,10
7150,2010,Sweden,53057.735,5053.506000000001,5687.884000000001,-5.884,11
7151,2010,Sweden,53200.53534841596,5070.222302014912,5678.467010001131,-12.004,12
7152,2011,Sweden,53225.37208692802,5085.273444126137,5669.103477901953,-7.3450000000000015,1
7153,2011,Sweden,53143.254336953796,5098.515539994782,5659.753712128634,-9.916,2
7154,2011,Sweden,52965.191219911234,5109.804703282087,5650.378021107258,-2.496,3
7155,2011,Sweden,52702.191857217156,5118.997047649269,5640.936713263907,5.193,4
7156,2011,Sweden,52365.26537029081,5125.948686757469,5631.39009702475,8.309,5
7157,2011,Sweden,51965.42088054925,5130.515734267914,5621.698480815867,14.443,6
7158,2011,Sweden,51513.66750940889,5132.554303841797,5611.822173063345,16.329,7
7159,2011,Sweden,51021.01437828998,5131.920509140302,5601.72148219335,14.027,8
7160,2011,Sweden,50498.47060860906,5128.470463824633,5591.356716631965,10.789000000000001,9
7161,2011,Sweden,49957.04532178224,5122.060281555962,5580.6881848052735,4.883,10
7162,2011,Sweden,49407.74763923038,5112.5460759955195,5569.676195139445,2.2300000000000004,11
7163,2011,Sweden,48861.58668236963,5099.783960804485,5558.28105606056,-2.221,12
7164,2012,Sweden,48329.57157261774,5083.630049644054,5546.463075994732,-6.3740000000000006,1
7165,2012,Sweden,47822.71143139098,5063.940456175359,5534.182563368036,-7.673999999999999,2
7166,2012,Sweden,47352.015380109995,5040.571294059708,5521.399826606654,0.6550000000000002,3
7167,2012,Sweden,46928.49254019102,5013.378676958244,5508.075174136662,1.057,4
7168,2012,Sweden,46563.15203305081,4982.218718532064,5494.168914384132,7.71,5
7169,2012,Sweden,46267.00298010917,4946.947532442542,5479.641355775255,10.702,6
7170,2012,Sweden,46051.0545027827,4907.421232350791,5464.4528067361025,14.372,7
7171,2012,Sweden,45926.315722488886,4863.495931917871,5448.5635756927395,13.33,8
7172,2012,Sweden,45903.79576064617,4815.027744805227,5431.933971071368,8.632000000000001,9
7173,2012,Sweden,45994.50373867178,4761.872784673935,5414.524301298056,2.58,10
7174,2012,Sweden,46209.44877798422,4703.887165185018,5396.294874798862,-0.049999999999999815,11
7175,2012,Sweden,46559.64,4640.927,5377.206,-9.266,12
7176,1990,United Kingdom,596398.4730000001,48778.60700000001,137607.97800000003,6.3100000000000005,1
7177,1990,United Kingdom,598528.4163570509,49066.05174422817,137761.67057537078,6.752999999999999,2
7178,1990,United Kingdom,600357.0460032438,49298.43457599991,137891.76206609915,7.816,3
7179,1990,United Kingdom,601897.4284926262,49477.966145371065,137999.66631870993,7.279,4
7180,1990,United Kingdom,603162.6303792612,49606.85710239948,138086.79717972892,11.479000000000001,5
7181,1990,United Kingdom,604165.7182172092,49687.318097142466,138154.56849568177,12.333,6
7182,1990,United Kingdom,604919.7585605218,49721.55977965669,138204.39411309353,14.998,7
7183,1990,United Kingdom,605437.8179632599,49711.79279999959,138237.6878784899,15.678,8
7184,1990,United Kingdom,605732.962979482,49660.22780822811,138255.8636383963,11.827,9
7185,1990,United Kingdom,605818.2601632439,49569.07545439965,138260.3352393381,10.601,10
7186,1990,United Kingdom,605706.7760686041,49440.54638857128,138252.5165278409,6.5600000000000005,11
7187,1990,United Kingdom,605411.5772496198,49276.85126079962,138233.82135043,4.461,12
7188,1991,United Kingdom,604945.7302603496,49080.200721142726,138205.66355363093,3.666,1
7189,1991,United Kingdom,604322.3016548508,48852.805419657314,138169.45698396917,2.689,2
7190,1991,United Kingdom,603554.3579871813,48596.87600640052,138126.61548797018,7.239,3
7191,1991,United Kingdom,602654.9658113956,48314.62313142865,138078.55291215918,7.274,4
7192,1991,United Kingdom,601637.1916815566,48008.25744480043,138026.68310306198,9.975,5
7193,1991,United Kingdom,600514.1021517199,47679.989596572246,137972.41990720388,10.91,6
7194,1991,United Kingdom,599298.763775939,47332.030236800194,137917.17717111015,15.299,7
